episode,difficulty,reward,solver_score,solver_success,path_length,loss_avg,empty,wall,lava,treasure,enemy,loss_list
10,6,554.3300881961765,-20,0,8,2.99060096402963,49,319,8,17,5,
11,10,2066.500074522961,100,1,5,2.4822048251827558,133,224,10,12,19,
12,5,-1451.2934470961761,-20,0,5,3.1029271989564102,31,346,10,6,5,
13,8,2280.762581835595,105,1,19,3.4106212317943574,78,275,8,13,24,
14,9,-375.5246408591414,-20,0,14,3.4290068015952904,104,263,7,14,10,
15,7,-1364.5601758535952,-20,0,11,3.389650544524193,54,316,7,11,10,
16,7,-124.93673949727878,-20,0,9,3.136220708141724,40,318,11,12,17,
17,5,902.7807614347628,100,1,5,3.051648071904977,34,334,9,10,11,
18,7,-181.56057102459698,-20,0,1,2.9494109915693603,43,321,14,9,11,
19,7,-482.41964346587383,110,1,8,3.695100913544496,49,324,8,6,11,
20,6,1623.93879403047,100,1,9,3.119732017815113,54,316,6,10,12,
21,10,2073.045523532165,105,1,14,2.7967402305205664,138,211,15,18,16,
22,1,-116.81685378742688,100,1,2,2.633837624738614,1,393,0,2,2,
23,7,1181.4639360698548,-20,0,8,2.951706694761912,43,319,9,18,9,
24,8,-107.75499584516831,120,1,35,2.89197790880998,80,290,9,10,9,
25,8,1157.5464207353302,-20,0,15,2.63900490646561,68,291,11,14,14,
26,9,1781.741171446439,-20,0,27,2.8515971066554386,102,245,16,14,21,
27,8,901.8893654369883,-20,0,16,3.237313644513488,68,283,16,13,18,
28,9,1699.6427295076085,100,1,17,3.16566544269522,107,258,8,13,12,
29,9,-1192.1794863555915,-20,0,8,2.768727108736833,104,255,17,10,12,
30,7,1433.7702244771347,-20,0,6,2.6202178896963595,54,320,4,14,6,
31,6,1460.1541932227537,100,1,3,2.7479049540807803,47,317,10,11,13,
32,7,1868.4548445548448,100,1,17,3.127908144866427,46,314,8,11,19,
33,10,-510.5088943878634,-20,0,5,2.672914309998353,136,217,17,12,16,
34,5,-1749.4463239607162,-20,0,14,3.279695364832878,25,341,12,10,10,
35,4,609.1299904036586,-20,0,1,2.5313724780082705,7,362,8,14,7,
36,4,-2097.7012454085498,-20,0,2,3.3785240777333576,9,367,7,8,7,
37,9,1422.8567949832116,-20,0,3,2.8170702724158763,110,262,10,7,9,
38,6,-2254.1632579744287,-20,0,3,3.4034149514635406,40,322,15,15,6,
39,8,2080.7450573404763,100,1,15,3.3566526222725708,74,288,12,12,12,
40,10,781.365295019981,-20,0,7,3.326912038673957,132,225,19,13,9,
41,10,1425.6873430294063,-20,0,13,3.557404877146085,132,221,15,12,18,
42,7,475.27852990077236,-20,0,3,4.021730039268732,50,314,12,14,8,
43,10,800.1993831432626,-20,0,2,3.396691676080227,131,219,20,17,11,
44,10,1893.4463623897861,105,1,2,3.520028974910577,124,222,16,16,20,
45,10,-1078.801367478536,-20,0,15,3.6759693164130054,140,231,10,11,6,
46,8,-64.16836663912795,-20,0,5,3.479993364761273,70,292,16,7,13,
47,10,-1161.9728304360267,-20,0,7,3.606529822945595,135,230,7,14,12,
48,8,-211.34841235542308,110,1,22,3.154121060570081,64,292,11,17,14,
49,9,-1486.3038312936978,-20,0,42,3.676338867495457,105,259,12,10,12,
50,4,-2042.951942132045,-20,0,7,2.997563088089228,10,359,15,9,5,"[1.311875820159912, 0.5465911626815796, 1.287384033203125, 0.9434164762496948, 1.5706077814102173, 0.8376784920692444, 0.9080116748809814, 1.1979373693466187, 0.997381865978241, 22.967079162597656, 1.0542396306991577, 1.1397820711135864, 22.861351013183594, 32.514461517333984, 0.7242674827575684, 0.9281534552574158, 0.819535493850708, 0.7776349782943726, 1.2384436130523682, 1.3632042407989502, 1.3130806684494019, 0.6248979568481445, 1.9963008165359497, 1.1492786407470703, 2.1382431983947754, 1.2893660068511963, 1.5195119380950928, 1.6359106302261353, 1.218759298324585, 1.3697891235351562, 1.6682970523834229, 2.897364377975464, 1.5524961948394775, 0.6092886924743652, 1.8517167568206787, 2.1252758502960205, 1.9191954135894775, 1.5143572092056274, 1.6044193506240845, 1.2044763565063477, 1.9778884649276733, 30.608659744262695, 25.854402542114258, 2.0409460067749023, 1.1546554565429688, 1.7975223064422607, 0.8651024103164673, 1.8347601890563965, 0.8244189023971558, 1.5068413019180298, 0.6708775162696838, 1.5660977363586426, 1.3534928560256958, 1.2887834310531616, 0.6563997268676758, 1.078678846359253, 0.940388023853302, 1.699690580368042, 1.9090805053710938, 1.0457582473754883, 1.7374775409698486, 1.1467512845993042, 1.5500907897949219, 1.4915845394134521, 1.4486476182937622, 0.8996872901916504, 1.757332444190979, 1.1172865629196167, 1.2422451972961426, 1.0873148441314697, 0.7503999471664429, 0.8269325494766235, 1.5239734649658203, 1.5463796854019165, 0.7892826199531555, 0.9079810380935669, 0.40747302770614624, 23.58374786376953, 0.5370883941650391, 1.258275032043457, 1.3086578845977783, 0.4711603820323944, 1.239058256149292, 1.4242238998413086, 2.2606444358825684, 0.5714940428733826, 1.3197540044784546, 1.1467393636703491, 1.0419690608978271, 0.881266713142395, 1.1286252737045288, 1.2155922651290894, 4.555747985839844, 1.2603853940963745, 0.9449828267097473, 8.994210243225098, 1.870126724243164, 1.7034720182418823, 0.5511307120323181, 1.6886038780212402, 2.2649521827697754, 0.7880350351333618, 1.060960292816162, 28.57747459411621, 1.554675817489624, 1.513913869857788, 1.4023082256317139, 1.4377694129943848, 1.4071407318115234, 1.366693377494812, 1.0055160522460938, 1.6590297222137451, 1.11556077003479, 0.9438185691833496, 1.4787648916244507, 1.7609012126922607, 1.0961902141571045, 36.32018280029297, 1.7811750173568726, 1.1277344226837158, 1.4834073781967163, 2.135673761367798, 1.013775110244751, 0.8813074231147766, 1.0196198225021362, 0.5660242438316345, 1.1726963520050049, 1.1667698621749878, 28.218162536621094, 0.9672996401786804, 0.8212971091270447, 2.223418712615967, 1.373779058456421, 1.0054645538330078, 0.7710363864898682, 1.8314874172210693, 1.2177443504333496, 1.2726473808288574, 1.1058446168899536, 9.027385711669922, 1.6035172939300537, 1.3615667819976807, 1.647994875907898, 1.0878872871398926, 1.881105661392212, 0.5983087420463562, 29.16629409790039, 0.8833079934120178, 0.4837205111980438, 1.7580316066741943, 1.4621381759643555, 0.9327634572982788, 1.6820218563079834, 0.7608622312545776, 1.3275341987609863, 0.6871006488800049, 1.1168665885925293, 0.6966006755828857, 1.250239610671997, 1.6083146333694458, 1.1763725280761719, 0.6056814193725586, 1.3400201797485352, 1.6063506603240967, 1.568549633026123, 0.8195592164993286, 1.697038173675537, 1.0810799598693848, 2.0911812782287598, 1.7951242923736572, 1.1694865226745605, 1.863369345664978, 1.4506901502609253, 10.25493049621582, 11.460695266723633, 1.941436767578125, 1.4258408546447754, 1.5659425258636475, 1.2503809928894043, 1.3343956470489502, 1.1047358512878418, 2.5719966888427734, 1.0172789096832275, 24.782657623291016, 1.585747241973877, 1.8430860042572021, 2.612236976623535, 1.8653972148895264, 1.5098097324371338, 1.4548113346099854, 0.9952706098556519, 0.48596397042274475, 1.3696317672729492, 1.2765692472457886, 1.2699761390686035, 1.626051664352417, 1.0533016920089722, 1.3634860515594482, 4.789158821105957, 1.3048934936523438, 2.3192148208618164, 2.0948643684387207, 1.2670838832855225, 25.11116600036621, 2.5162363052368164, 1.3063143491744995, 1.1794500350952148, 1.1564072370529175, 1.2032511234283447, 0.9684016704559326, 1.4473598003387451, 1.0069465637207031, 8.633384704589844, 0.6299576163291931, 23.747276306152344, 1.1380956172943115, 23.04721450805664, 0.9961965084075928, 0.6390119194984436, 1.2810873985290527, 1.43341863155365, 1.5874688625335693, 23.05038833618164, 1.2716838121414185, 1.4460710287094116, 0.9172831177711487, 4.884939670562744, 1.7776286602020264, 0.9564191102981567, 1.7956182956695557, 2.1644721031188965, 1.0117254257202148, 1.6534209251403809, 1.2799229621887207, 1.3039586544036865, 1.3412094116210938, 1.364794373512268, 0.6705700755119324, 0.9237803220748901, 1.7795250415802002, 0.5883406400680542, 0.856221079826355, 1.119421362876892, 1.0390841960906982, 2.0881412029266357, 0.7103834748268127, 0.7006635665893555, 1.4632765054702759, 1.6183853149414062, 1.1712045669555664, 1.2647569179534912, 1.3642637729644775, 1.3675274848937988, 0.8840346932411194, 1.277388572692871, 1.1179951429367065, 1.917668104171753, 1.4998779296875, 1.8012621402740479, 1.613419771194458, 1.115393877029419, 1.7705029249191284, 0.6147432923316956, 1.8750708103179932, 1.4565924406051636, 1.5969438552856445, 1.5540056228637695, 1.6650012731552124, 0.949805736541748, 1.3738443851470947, 1.402834415435791, 1.7735621929168701, 1.1556081771850586, 0.6565396785736084, 0.88601154088974, 0.9711672067642212, 1.0004987716674805, 0.7179635763168335, 0.7882258892059326, 1.3300228118896484, 1.1449416875839233, 0.7130646109580994, 1.0627868175506592, 22.472761154174805, 1.0971333980560303, 1.0200109481811523, 1.4791896343231201, 1.3933528661727905, 0.7194629907608032, 0.7493105530738831, 1.6203563213348389, 1.4063525199890137, 1.1897772550582886, 4.219008445739746, 1.890061855316162, 32.935638427734375, 1.5752713680267334, 23.175119400024414, 2.041358470916748, 1.1595110893249512, 1.2593822479248047, 1.2490100860595703, 1.4769065380096436, 1.328490138053894, 1.5914486646652222, 1.92062509059906, 11.445112228393555, 0.7987755537033081, 0.7006039023399353, 0.9633510708808899, 1.1166164875030518, 1.209287166595459, 1.440654993057251, 1.487001657485962, 0.6473079323768616, 25.316110610961914, 1.6159963607788086, 1.084179401397705, 0.8443830013275146, 13.415423393249512, 1.8944146633148193, 2.040138006210327, 0.37447649240493774, 2.006105422973633, 0.9295473098754883, 1.7090888023376465, 0.524067759513855, 1.9527288675308228, 1.5145045518875122, 1.1660016775131226, 2.097604513168335, 0.8971296548843384, 1.061781406402588, 1.5682368278503418, 2.1856038570404053, 1.4162043333053589, 2.643536329269409, 0.9611955881118774, 0.6863198280334473, 0.9883027672767639, 1.1408088207244873, 1.3231315612792969, 22.49176597595215, 0.91339111328125, 0.9779574275016785, 1.5713720321655273, 1.0461971759796143, 0.7582159042358398, 1.330657958984375, 1.3667523860931396, 1.7905975580215454, 1.1958098411560059, 1.6414023637771606, 1.2483340501785278, 23.877178192138672, 1.2014803886413574, 1.5740110874176025, 0.8897862434387207, 1.47185218334198, 1.1905208826065063, 1.2133920192718506, 2.204251527786255, 0.5521173477172852, 1.7007408142089844, 1.0378801822662354, 1.5042026042938232, 1.7234959602355957, 0.6643707752227783, 1.5375747680664062, 1.0320481061935425, 1.2588247060775757, 0.4760228991508484, 0.60659259557724, 13.149443626403809, 1.9061437845230103, 0.9827402830123901, 0.8587231636047363, 1.0854761600494385, 1.3962554931640625, 1.0098131895065308, 1.6417431831359863, 36.56856155395508, 22.94098472595215, 1.1315953731536865, 36.22236633300781, 1.608526349067688, 1.180020809173584, 1.332165002822876, 1.0640596151351929, 19.939212799072266, 2.495861768722534, 1.1730936765670776, 0.8561770915985107, 0.7709927558898926, 1.552211046218872, 1.2459039688110352, 1.7092421054840088, 0.42808258533477783, 1.6922414302825928, 1.3425577878952026, 1.462024211883545, 1.5229084491729736, 1.5845872163772583, 2.6125106811523438, 1.1265642642974854, 34.508155822753906, 1.7774150371551514, 0.8777675628662109, 1.2289552688598633, 0.9754910469055176, 1.3876235485076904, 1.045517921447754, 0.8766391277313232, 1.3289456367492676, 1.1542885303497314, 1.6160430908203125, 12.725247383117676, 1.4356815814971924, 1.8443052768707275, 3.085979700088501, 1.5004851818084717, 2.297886610031128, 1.6227784156799316, 0.9808945655822754, 1.197499394416809, 0.949866533279419, 24.018877029418945, 1.6840084791183472, 1.2067636251449585, 1.4813727140426636, 0.957933783531189, 0.5644901990890503, 24.55304527282715, 1.199894666671753, 1.3730452060699463, 1.1314600706100464, 10.992441177368164, 1.245234489440918, 1.5136079788208008, 1.1558990478515625, 0.9594600796699524, 0.6370381712913513, 1.5853638648986816, 1.5868539810180664, 1.6581045389175415, 1.6154240369796753, 1.2195487022399902, 0.8285894393920898, 1.6205687522888184, 1.2207059860229492, 0.7814208269119263, 9.76170539855957, 1.1948413848876953, 0.7080327272415161, 0.7914338111877441, 1.6756198406219482, 1.0949325561523438, 0.6887094974517822, 0.74863201379776, 1.3640304803848267, 1.0560057163238525, 1.7025104761123657, 1.8028297424316406, 1.6731176376342773, 3.0738048553466797, 0.9003214836120605, 0.4715591073036194, 1.4487338066101074, 1.4226999282836914, 0.7377296686172485, 1.0368528366088867, 1.1661889553070068, 1.809044599533081, 0.8165282607078552, 1.0950566530227661, 1.0559651851654053, 0.9046868085861206, 1.4003574848175049, 1.9409422874450684, 1.2885595560073853, 1.0859928131103516, 1.5698802471160889, 1.3940942287445068, 1.298494815826416, 1.9619293212890625, 1.2496893405914307, 27.94500732421875, 1.286855697631836, 1.663053035736084, 1.2859442234039307, 18.50101089477539, 0.7366151213645935, 1.7621800899505615, 1.0886849164962769, 26.826492309570312, 1.1865869760513306, 1.674967646598816, 1.5531489849090576, 0.6457743048667908, 0.39784741401672363, 1.9503233432769775, 1.1635208129882812, 1.2645235061645508, 1.3273221254348755, 1.5266305208206177, 1.2260621786117554, 1.5405733585357666, 0.9506106376647949, 2.0915632247924805, 1.679113507270813, 0.9397141337394714, 1.1294195652008057, 33.20284652709961, 1.8873671293258667, 0.8498318791389465, 2.0791404247283936, 1.3933382034301758, 1.2045366764068604, 0.8732911348342896, 1.543447732925415, 1.3808835744857788, 1.5017573833465576, 0.6586976051330566, 0.8949954509735107, 1.294602870941162, 1.2166532278060913, 0.839586615562439, 2.1235098838806152, 1.212331771850586, 2.0750861167907715, 9.198341369628906, 0.8730721473693848, 0.930720865726471, 1.4961683750152588, 0.9693705439567566, 1.3571548461914062, 1.2464607954025269, 1.2356562614440918, 0.9615404605865479, 1.1317496299743652, 1.5311474800109863, 0.6245675086975098, 0.5874753594398499, 1.12996506690979, 1.1235071420669556, 1.4886631965637207, 1.0208122730255127, 1.6424081325531006, 1.4847708940505981, 1.2976586818695068, 1.0587965250015259, 0.881924033164978, 0.7737094163894653, 1.1193469762802124, 1.1145117282867432, 1.4537720680236816, 1.214737057685852, 1.6125786304473877, 1.324958086013794, 2.2706313133239746, 1.3731714487075806, 1.5351340770721436, 1.9178335666656494, 1.2619762420654297, 0.9361231327056885, 1.1777119636535645, 1.7675883769989014, 0.8498533368110657, 1.3204694986343384, 1.8112789392471313, 1.2250107526779175, 0.9843603372573853, 2.7038698196411133, 0.6536538600921631, 33.58315658569336, 13.058710098266602, 1.0515861511230469, 0.7679592370986938, 1.5511432886123657, 2.1949710845947266, 1.6158149242401123, 1.6381993293762207, 1.094421148300171, 1.1979849338531494, 0.7130581140518188, 1.6817508935928345, 0.9684163331985474, 1.1705020666122437, 1.6015315055847168, 0.9731335639953613, 0.7283816933631897, 33.247901916503906, 1.4067802429199219, 2.2056634426116943, 0.8789927363395691, 0.9616100192070007, 1.1892412900924683, 1.8276407718658447, 2.0200552940368652, 0.8736163377761841]"
51,8,-274.1211355891829,105,1,21,3.490582629740238,77,286,12,14,9,
52,5,348.993701046169,-20,0,2,2.979779244363308,30,333,10,15,10,
53,4,381.81680855233543,-20,0,4,3.089742639660835,10,364,6,12,6,
54,9,-1397.364024504777,-20,0,1,3.351988995720943,93,259,13,11,22,
55,3,-1244.9161370542763,-20,0,7,3.039977844754855,2,382,5,3,6,
56,7,1754.2144918693018,-20,0,10,2.9204653542737167,49,315,12,9,13,
57,1,-1292.9177973968021,-20,0,2,3.010284976760546,0,393,3,1,1,
58,9,-638.5210050756754,-20,0,6,3.735063896874587,102,264,8,12,12,
59,9,1757.4856553101224,-20,0,7,3.2740887964765233,97,257,18,12,14,
60,3,-305.4955810883229,100,1,4,3.07666650245587,6,383,3,2,4,
61,8,-1677.002362409474,-20,0,17,3.6899605413277943,55,287,17,24,15,
62,8,-39.044981272310956,-20,0,1,3.117964580754439,67,290,15,12,14,
63,6,1637.0696656219902,105,1,19,3.1346481997768083,59,319,7,7,6,
64,10,-598.049770056791,-20,0,5,3.5665556211272875,135,226,10,13,14,
65,3,120.60140379715276,-20,0,1,3.2187386578321457,4,380,6,3,5,
66,1,-909.1168537874295,-20,0,4,3.4261108831564586,0,393,1,2,2,
67,9,-1023.5836335220031,-20,0,7,3.5314275512099265,101,258,11,12,16,
68,2,-1638.205277425292,-20,0,2,3.411648712952932,10,380,2,2,4,
69,4,416.0044893672282,-20,0,3,3.5833025895555815,7,365,16,6,4,
70,3,-1078.6352531798598,-20,0,3,3.777907645304998,5,384,1,2,6,
71,7,778.6113041717382,100,1,18,3.797522402604421,57,320,7,8,6,
72,4,661.1375440405733,105,1,14,3.72186635017395,14,359,6,12,7,
